STAT_CODE,STAT_NAME,CYCLE,FULL_PATH
501Y062,"손익계산서(1990~1996, 표본조사)",A,"기업경영분석 > 손익계산서(연) > 손익계산서(1990~1996, 표본조사)"
501Y003,"제조원가명세서(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 제조원가명세서(연) > 제조원가명세서(제11차 한국표준산업분류, 2009~)"
501Y063,"제조원가명세서(중소기업기본법, 2015~2016)",A,"기업경영분석 > 제조원가명세서(연) > 제조원가명세서(중소기업기본법, 2015~2016)"
501Y064,"제조원가명세서(조세특례제한법, 2009~2014)",A,"기업경영분석 > 제조원가명세서(연) > 제조원가명세서(조세특례제한법, 2009~2014)"
501Y065,"제조원가명세서(2007~2010, 표본조사)",A,"기업경영분석 > 제조원가명세서(연) > 제조원가명세서(2007~2010, 표본조사)"
501Y066,"제조원가명세서(2000~2007, 표본조사)",A,"기업경영분석 > 제조원가명세서(연) > 제조원가명세서(2000~2007, 표본조사)"
501Y067,"제조원가명세서(1990~1999, 표본조사)",A,"기업경영분석 > 제조원가명세서(연) > 제조원가명세서(1990~1999, 표본조사)"
501Y004,"이익잉여금 처분계산서(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 이익잉여금 처분계산서(연) > 이익잉여금 처분계산서(제11차 한국표준산업분류, 2009~)"
501Y068,"이익잉여금 처분계산서(중소기업기본법, 2015~2016)",A,"기업경영분석 > 이익잉여금 처분계산서(연) > 이익잉여금 처분계산서(중소기업기본법, 2015~2016)"
501Y069,"이익잉여금 처분계산서(조세특례제한법, 2009~2014)",A,"기업경영분석 > 이익잉여금 처분계산서(연) > 이익잉여금 처분계산서(조세특례제한법, 2009~2014)"
501Y070,"이익잉여금 처분계산서(2007~2010, 표본조사)",A,"기업경영분석 > 이익잉여금 처분계산서(연) > 이익잉여금 처분계산서(2007~2010, 표본조사)"
501Y071,"이익잉여금 처분계산서(2000~2007, 표본조사)",A,"기업경영분석 > 이익잉여금 처분계산서(연) > 이익잉여금 처분계산서(2000~2007, 표본조사)"
501Y072,"이익잉여금 처분계산서(1990~1999, 표본조사)",A,"기업경영분석 > 이익잉여금 처분계산서(연) > 이익잉여금 처분계산서(1990~1999, 표본조사)"
501Y010,"부가가치 구성(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 부가가치 구성(연) > 부가가치 구성(제11차 한국표준산업분류, 2009~)"
501Y073,"부가가치 구성(중소기업기본법, 2015~2016)",A,"기업경영분석 > 부가가치 구성(연) > 부가가치 구성(중소기업기본법, 2015~2016)"
501Y074,"부가가치 구성(조세특례제한법, 2009~2014)",A,"기업경영분석 > 부가가치 구성(연) > 부가가치 구성(조세특례제한법, 2009~2014)"
501Y075,"부가가치 구성(2007~2010, 표본조사)",A,"기업경영분석 > 부가가치 구성(연) > 부가가치 구성(2007~2010, 표본조사)"
501Y076,"부가가치 구성(2002~2007, 표본조사)",A,"기업경영분석 > 부가가치 구성(연) > 부가가치 구성(2002~2007, 표본조사)"
501Y077,"부가가치 구성(1998~2006, 표본조사)",A,"기업경영분석 > 부가가치 구성(연) > 부가가치 구성(1998~2006, 표본조사)"
501Y078,"부가가치 구성(1990~1997, 표본조사)",A,"기업경영분석 > 부가가치 구성(연) > 부가가치 구성(1990~1997, 표본조사)"
